Volatility 3 Framework 2.28.0
  |  PID |       Process |      Start VPN |        End VPN |  Tag |             Protection | CommitCharge | PrivateMemory | File output | Notes |                                                          Hexdump |                                                  Disasm
  |      |               |                |                |      |                        |              |               |             |       | 8d b1 88 38 00 00 ff e2 48 83 c4 28 41 5d 41 5c ...8....H..(A]A\ |                             0x1ef8f040001:  push    rdi
  |      |               |                |                |      |                        |              |               |             |       | 5d 5b 5f 5e c3 00 00 00 00 00 00 00 00 00 00 00 ][_^............ |                             0x1ef8f040002:  push    rbx
  |      |               |                |                |      |                        |              |               |             |       | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................ |                             0x1ef8f040003:  push    rbp
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8f040004:  push    r12
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8f040006:  push    r13
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                       0x1ef8f040008:  sub     rsp, 0x28
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                        0x1ef8f04000c:  mov     rbp, rcx
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |             0x1ef8f04000f:  lea     rsi, [rcx + 0x3888]
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8f040016:  jmp     rdx
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                       0x1ef8f040018:  add     rsp, 0x28
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8f04001c:  pop     r13
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8f04001e:  pop     r12
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8f040020:  pop     rbp
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8f040021:  pop     rbx
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8f040022:  pop     rdi
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x1ef8f040023:  pop     rsi
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                                0x1ef8f040024:  ret     
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f040025:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f040027:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f040029:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f04002b:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f04002d:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f04002f:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f040031:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f040033:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f040035:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f040037:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f040039:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f04003b:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x1ef8f04003d:  add     byte ptr [rax], al
* | 2688 |   MsMpEng.exe |  0x1ef90ae0000 |  0x1ef90cdffff | VadS | PAGE_EXECUTE_READWRITE |          512 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 20 00 00 00 e0 ff 1f 00 0c 00 00 00 01 00 07 00  ............... |              0x1ef90ae0000:  and     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 00 42 00 30 00 70 00 60 00 50 00 c0 00 d0 00 00 .B.0.p.`.P...... |              0x1ef90ae0002:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 0c 00 4e 00 0c 00 01 05 48 8b 55 28 48 8b 8d c0 ..N.....H.U(H... |                   0x1ef90ae0004:  loopne  0x1ef90ae0005
  |      |               |                |                |      |                        |              |               |             |       | 00 00 00 48 8d 54 0a 10 48 89 d7 b9 08 00 1a 00 ...H.T..H....... |                                                        
* | 5368 |  SearchUI.exe |  0x249e6a40000 |  0x249e6a5ffff | VadS | PAGE_EXECUTE_READWRITE |            2 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................ |              0x249e6a40000:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................ |              0x249e6a40002:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................ |              0x249e6a40004:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ ................ |              0x249e6a40006:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40008:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4000a:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4000c:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4000e:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40010:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40012:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40014:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40016:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40018:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4001a:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4001c:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4001e:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40020:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40022:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40024:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40026:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40028:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4002a:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4002c:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4002e:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40030:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40032:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40034:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40036:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a40038:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4003a:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4003c:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x249e6a4003e:  add     byte ptr [rax], al
* | 4444 |       MOM.exe |  0x23ac6580000 |  0x23ac658ffff | VadS | PAGE_EXECUTE_READWRITE |            4 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 00 00 00 00 00 00 00 00 66 5c 96 0b 19 ad 00 01 ........f\...... |              0x23ac6580000:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | ee ff ee ff 02 00 00 00 20 01 58 c6 3a 02 00 00 ........ .X.:... |              0x23ac6580002:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 20 01 58 c6 3a 02 00 00 00 00 58 c6 3a 02 00 00  .X.:.....X.:... |              0x23ac6580004:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 00 00 58 c6 3a 02 00 00 0f 00 00 00 00 00 00 00 ..X.:........... |              0x23ac6580006:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                              0x23ac6580008:  pop     sp
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                        0x23ac658000a:  xchg    esi, eax
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |            0x23ac658000b:  or      ebx, dword ptr [rcx]
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |            0x23ac658000d:  lodsd   eax, dword ptr [rsi]
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x23ac658000e:  add     byte ptr [rcx], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                          0x23ac6580010:  out     dx, al
* |  880 |       CCC.exe |  0x2bb040f0000 |  0x2bb040fffff | VadS | PAGE_EXECUTE_READWRITE |           15 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 00 00 00 00 00 00 00 00 31 21 f8 3f 73 8e 00 01 ........1!.?s... |              0x2bb040f0000:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | ee ff ee ff 02 00 00 00 20 01 0f 04 bb 02 00 00 ........ ....... |              0x2bb040f0002:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 20 01 0f 04 bb 02 00 00 00 00 0f 04 bb 02 00 00  ............... |              0x2bb040f0004:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 00 00 0f 04 bb 02 00 00 0f 00 00 00 00 00 00 00 ................ |              0x2bb040f0006:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |            0x2bb040f0008:  xor     dword ptr [rcx], esp
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                                0x2bb040f000a:  clc     
* | 7252 | taskhostw.exe | 0x7ff66cd00000 | 0x7ff66cd9ffff | VadS | PAGE_EXECUTE_READWRITE |            2 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 ................ |                           0x7ff66cd00000: fdivr   st(7)
  |      |               |                |                |      |                        |              |               |             |       | 01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 ............8... |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 68 41 d4 07 0c 00 00 00 b0 70 bc 7d f9 7f 00 00 hA.......p.}.... |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 00 10 53 7d f9 7f 00 00 e8 29 5e 7d f9 7f 00 00 ..S}.....)^}.... |                                                        
* | 7252 | taskhostw.exe | 0x7ff66ccf0000 | 0x7ff66ccfffff | VadS | PAGE_EXECUTE_READWRITE |            1 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 00 00 00 00 00 00 00 00 78 0d 00 00 00 00 00 00 ........x....... |              0x7ff66ccf0000: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 0c 00 00 00 49 c7 c2 00 00 00 00 48 b8 20 49 48 ....I......H. IH |              0x7ff66ccf0002: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 7f f9 7f 00 00 ff e0 49 c7 c2 01 00 00 00 48 b8 .......I......H. |              0x7ff66ccf0004: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 20 49 48 7f f9 7f 00 00 ff e0 49 c7 c2 02 00 00  IH.......I..... |              0x7ff66ccf0006: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                  0x7ff66ccf0008: js      0x7ff66ccf0017
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x7ff66ccf000a: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x7ff66ccf000c: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x7ff66ccf000e: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                           0x7ff66ccf0010: or      al, 0
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x7ff66ccf0012: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                          0x7ff66ccf0014: mov     r10, 0
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |             0x7ff66ccf001b: movabs  rax, 0x7ff97f484920
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x7ff66ccf0025: jmp     rax
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                          0x7ff66ccf0027: mov     r10, 1
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |             0x7ff66ccf002e: movabs  rax, 0x7ff97f484920
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x7ff66ccf0038: jmp     rax
* | 6492 |  ngentask.exe |      0x19e0000 |      0x19effff | VadS | PAGE_EXECUTE_READWRITE |            1 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 61 ed 38 c7 7f 57 00 01 ee ff ee ff 02 00 00 00 a.8..W.......... |                                0x19e0000:      popal   
  |      |               |                |                |      |                        |              |               |             |       | a4 00 9e 01 a4 00 9e 01 00 00 9e 01 00 00 9e 01 ................ |                         0x19e0001:      in      eax, dx
  |      |               |                |                |      |                        |              |               |             |       | 0f 00 00 00 98 04 9e 01 00 f0 9e 01 0e 00 00 00 ................ |                          0x19e0002:      cmp     bh, al
  |      |               |                |                |      |                        |              |               |             |       | 01 00 00 00 00 00 00 00 f0 0f 9e 01 f0 0f 9e 01 ................ |                       0x19e0004:      jg      0x19e005d
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x19e0006:      add     byte ptr [ecx], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                          0x19e0008:      out     dx, al
* | 1336 |  ngentask.exe |  0x21149e50000 |  0x21149e5ffff | VadS | PAGE_EXECUTE_READWRITE |            2 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 00 00 00 00 00 00 00 00 83 97 31 0b 9b d6 00 01 ..........1..... |              0x21149e50000:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | ee ff ee ff 02 00 00 00 20 01 e5 49 11 02 00 00 ........ ..I.... |              0x21149e50002:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 20 01 e5 49 11 02 00 00 00 00 e5 49 11 02 00 00  ..I.......I.... |              0x21149e50004:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 00 00 e5 49 11 02 00 00 0f 00 00 00 00 00 00 00 ...I............ |              0x21149e50006:  add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  | 0x21149e50008:  adc     dword ptr [rdi - 0x2964f4cf], 0
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                        0x21149e5000f:  add     esi, ebp
* | 1336 |  ngentask.exe | 0x7ff5ffc50000 | 0x7ff5ffc5ffff | VadS | PAGE_EXECUTE_READWRITE |            1 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 00 00 00 00 00 00 00 00 78 0d 00 00 00 00 00 00 ........x....... |              0x7ff5ffc50000: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 0c 00 00 00 49 c7 c2 00 00 00 00 48 b8 20 49 48 ....I......H. IH |              0x7ff5ffc50002: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 7f f9 7f 00 00 ff e0 49 c7 c2 01 00 00 00 48 b8 .......I......H. |              0x7ff5ffc50004: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       | 20 49 48 7f f9 7f 00 00 ff e0 49 c7 c2 02 00 00  IH.......I..... |              0x7ff5ffc50006: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                  0x7ff5ffc50008: js      0x7ff5ffc50017
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x7ff5ffc5000a: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x7ff5ffc5000c: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x7ff5ffc5000e: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                           0x7ff5ffc50010: or      al, 0
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |              0x7ff5ffc50012: add     byte ptr [rax], al
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                          0x7ff5ffc50014: mov     r10, 0
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |             0x7ff5ffc5001b: movabs  rax, 0x7ff97f484920
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x7ff5ffc50025: jmp     rax
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                          0x7ff5ffc50027: mov     r10, 1
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |             0x7ff5ffc5002e: movabs  rax, 0x7ff97f484920
  |      |               |                |                |      |                        |              |               |             |       |                                                                  |                             0x7ff5ffc50038: jmp     rax
* | 1336 |  ngentask.exe | 0x7ff5ffc60000 | 0x7ff5ffcfffff | VadS | PAGE_EXECUTE_READWRITE |            2 |             1 |    Disabled |   N/A |                                                                  |                                                        
  |      |               |                |                |      |                        |              |               |             |       | d8 ff ff ff ff ff ff ff 08 00 00 00 00 00 00 00 ................ |                           0x7ff5ffc60000: fdivr   st(7)
  |      |               |                |                |      |                        |              |               |             |       | 01 00 00 00 00 00 00 00 00 02 0e 03 38 00 00 00 ............8... |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 68 41 d4 07 0c 00 00 00 b0 70 bc 7d f9 7f 00 00 hA.......p.}.... |                                                        
  |      |               |                |                |      |                        |              |               |             |       | 00 10 53 7d f9 7f 00 00 e8 29 5e 7d f9 7f 00 00 ..S}.....)^}.... |                                                        
